id,purpose,description,sentiment,sentiment_score,sentiment_confidence,text_length,word_count,sentence_count,has_positive_words,has_negative_words,has_financial_terms,target_5%,default_prob_5%,target_10%,default_prob_10%,target_15%,default_prob_15%
20,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections.,NEGATIVE,0.5,0.8087431607561908,93,16,2,0,0,1,0,0.15336361827819972,0,0.21182419605638794,0,0.25993976840006444
21,medical,Need loan for healthcare expenses. I have different medical costs to address. My financial situation is normal with regular income. I am committed to meeting my financial commitments.,NEUTRAL,0.5125,0.6879949419936346,183,28,5,0,0,1,0,0.1722933450047351,0,0.21719031465959826,0,0.2652300727010554
22,education,Funding education to improve career prospects.,POSITIVE,0.5,0.8628072298570634,46,6,2,0,0,0,0,0.09381497390042606,0,0.14633847088869598,0,0.19040635610016496
23,business,Need emergency funding for my business.,NEGATIVE,0.5,0.7588032972152222,39,6,2,0,1,0,0,0.09596157507913518,0,0.1492731492312705,0,0.20802495518068304
24,business,Trying to save my struggling business. Sales have been declining and I'm behind on some payments. My financial situation has been challenging recently. I am concerned about my ability to make payments. I have compared different lenders and found this to be the most suitable option.,NEGATIVE,0.5821428571428572,0.8945842718603634,282,46,6,0,1,1,0,0.17206314506029688,0,0.228290245851999,0,0.2799718831947501
25,education,Need to finish degree but struggling financially. Have some payment issues due to reduced income. I've been struggling financially and have missed some payments. I am worried about my financial situation. I have discussed this with my financial advisor and feel confident about this decision.,NEGATIVE,0.53125,0.788782660541869,292,45,6,1,1,1,0,0.1877149331665367,0,0.2414457723260174,0,0.2931794081944166
26,education,Need loan for education.,NEUTRAL,0.5,0.6068168598350413,24,4,2,0,0,0,0,0.0952182757518485,1,0.1426749613820715,1,0.19357410672115746
27,business,Starting a new business venture with a solid business plan. I have strong financial backing and experience. I have a stable job with good income and excellent credit history. I have a solid plan for managing this debt responsibly.,POSITIVE,0.6372053872053872,0.9073033597214142,230,39,5,1,0,1,0,0.1510181568376521,0,0.20385062864665388,0,0.26099967637166094
28,debt_consolidation,Need to consolidate my current debts.,NEUTRAL,0.5,0.9422945727870669,37,6,2,0,0,1,0,0.14343259863598704,0,0.1982453566980691,0,0.23506194383644802
29,education,Need funding for educational expenses.,NEUTRAL,0.625,0.6577944356409446,38,5,2,0,0,0,0,0.07519091783758708,0,0.11797526777954863,1,0.16946608360961027
30,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My employment is secure and I have strong payment history. I am optimistic about my financial future. I have discussed this with my financial advisor and feel confident about this decision.,POSITIVE,0.6283333333333333,0.8495321404866926,298,46,6,1,0,1,1,0.1749008884412998,1,0.2307431571360375,0,0.2762069996531454
31,medical,Need loan for healthcare expenses. I have different medical costs to address. I have consistent income and average credit score. I will maintain my payment schedule. I have considered the long-term implications of this financial decision.,NEUTRAL,0.51,0.7580201494868954,238,36,6,0,0,1,1,0.1759310639491151,0,0.22583689263303378,0,0.2892098733858507
32,home_improvement,Planning to renovate my kitchen to increase home value.,POSITIVE,0.5,0.8059080514600316,55,9,2,0,0,0,0,0.09864322989334406,0,0.13563164808258377,1,0.19542344314349833
33,home_improvement,Planning to renovate my kitchen to increase home value. I have a stable job and good credit history. I have a stable job with good income and excellent credit history. I am confident in my ability to repay this loan. I have researched various loan options and believe this is the best choice for my situation.,POSITIVE,0.825,0.680129624333904,309,56,6,1,0,1,0,0.14737992138963224,0,0.19875529493364896,0,0.2434051753646697
34,debt_consolidation,I want to consolidate my existing debts into one loan. I have various credit cards and personal loans. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5,0.6974670423875914,188,32,5,1,0,1,0,0.18436210450746865,0,0.23220261109049317,0,0.2922310962021137
35,medical,Need loan for healthcare expenses.,NEUTRAL,0.5,0.8016740774023149,34,5,2,0,0,0,0,0.09737924301246965,0,0.1391864030922227,0,0.1900865710628009
36,home_improvement,Want to make some upgrades to my house. I have a few different improvement projects planned. My employment is stable and I have typical payment history. I plan to manage this loan responsibly.,NEUTRAL,0.4791666666666667,0.6339257849800881,192,33,5,1,0,1,0,0.15924226605054312,0,0.21110078606783328,1,0.2674785677376197
37,medical,Need urgent medical treatment but struggling financially. Have missed some payments due to medical bills. I have some payment problems and my income is irregular. I am uncertain about my ability to repay.,NEGATIVE,0.484375,0.9023428619293612,204,33,5,0,1,1,0,0.17264121073643654,1,0.22048990147048728,0,0.2741188621426429
38,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs. I have a good credit score and stable income. I have a stable job with good income and excellent credit history. I am confident in my ability to repay this loan. I have carefully planned my budget to accommodate this loan payment.,POSITIVE,0.78,0.8548747559544139,308,55,6,1,0,1,1,0.17020415426151286,1,0.22598181644010829,0,0.2846349004854024
39,debt_consolidation,I want to consolidate my existing debts into one loan.,NEUTRAL,0.5,0.7570147417415961,54,10,2,0,0,1,0,0.1440187749206759,0,0.2086652985933644,0,0.24283138667938
40,medical,Need urgent medical treatment but struggling financially.,NEGATIVE,0.5,0.9060700839247028,57,7,2,0,1,1,0,0.12776290450085157,0,0.1857636809039957,0,0.22045065837723166
41,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs. I have a good credit score and stable income. I have a stable job with good income and excellent credit history. I am confident in my ability to repay this loan.,POSITIVE,0.8625,0.8282507128994827,239,44,5,1,0,1,0,0.1525523186419874,1,0.18875001812827005,0,0.24848213295248556
42,education,Need to finish degree but struggling financially.,NEGATIVE,0.5,0.7422449202833652,49,7,2,0,1,1,0,0.12931194300028256,0,0.18117671511816139,0,0.22329298491600993
43,medical,Need medical procedure that's well-planned.,POSITIVE,0.5,0.7326405916419206,43,5,2,0,0,0,0,0.09586894675522038,0,0.15074050536254946,0,0.19089857781723696
44,medical,Looking to finance medical treatment. I have several medical bills to pay. I have consistent income and average credit score. I will maintain my payment schedule.,NEUTRAL,0.51,0.8438070262600569,162,26,5,0,0,1,0,0.1555183409968524,0,0.2097387854867544,0,0.25838314637091353
45,education,Need education funding but my financial situation is tight. Have some credit problems. I have some payment problems and my income is irregular. I am struggling to manage my current financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEGATIVE,0.5267857142857143,0.7038477389230975,291,46,6,1,1,1,0,0.1857125781268438,0,0.23981462061322245,0,0.28852501025644905
46,debt_consolidation,Need to consolidate my current debts. I have several credit accounts that I want to combine. I have standard credit history and stable employment. I plan to manage this loan responsibly. I have compared different lenders and found this to be the most suitable option.,NEUTRAL,0.5892857142857143,0.620007845517619,267,45,6,1,0,1,0,0.1965077649048169,0,0.24888650813599777,0,0.3
47,education,Need education funding but my financial situation is tight. Have some credit problems. My financial situation has been challenging recently. I am struggling to manage my current financial obligations.,NEGATIVE,0.5229591836734694,0.6199078529050396,200,29,5,0,1,1,0,0.16635477153607986,0,0.2149165921169903,0,0.26599213545440925
48,education,Need funding for educational expenses.,NEUTRAL,0.625,0.623786302181515,38,5,2,0,0,0,0,0.08415988508746428,0,0.12677295380057557,0,0.17752311353533123
49,home_improvement,Planning home improvements to update the property. I have various projects in mind. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5,0.8026216701275237,169,27,5,1,0,1,0,0.15296565804529183,0,0.19519774145411364,1,0.2527352693000352
50,debt_consolidation,"I need to consolidate my high-interest credit card debt into a single, manageable payment. I have a stable job and am committed to improving my financial situation. My financial situation is stable with consistent income and good credit. I am optimistic about my financial future. I have considered the long-term implications of this financial decision.",POSITIVE,0.5549107142857143,0.7829739504361856,353,55,6,1,0,1,0,0.21538871307160548,0,0.2736299697402464,0,0.2924602230942713
51,business,Need capital for business development.,NEUTRAL,0.5,0.6929650793859738,38,5,2,0,0,0,0,0.0978611182592545,0,0.13872668985575518,0,0.19878322097310724
52,home_improvement,Looking to do some home renovations. I have several areas that need updating. I have consistent income and average credit score. I will maintain my payment schedule. I have compared different lenders and found this to be the most suitable option.,NEUTRAL,0.5958333333333333,0.92515641609693,246,41,6,0,0,1,0,0.1548964602759798,0,0.20582119890692072,0,0.2585292099272308
53,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.9486337567492832,62,8,2,0,0,1,0,0.12529271486348453,0,0.1724344164195155,0,0.22693079728812582
54,debt_consolidation,I want to consolidate my existing debts into one loan. I have various credit cards and personal loans. I have standard credit history and stable employment. I understand my financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5416666666666666,0.926640782297798,283,45,6,1,0,1,0,0.2073755657982484,1,0.2553512661630011,1,0.3
55,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.7533646005526984,62,8,2,0,0,1,1,0.13773770560142579,0,0.1791856101842316,0,0.23472412055306588
56,education,Looking to finance my education. I have several educational expenses to pay. I have standard credit history and stable employment. I am committed to meeting my financial commitments. I have researched various loan options and believe this is the best choice for my situation.,NEUTRAL,0.6041666666666666,0.8337521212994042,275,44,6,1,0,1,1,0.17935635816959292,0,0.2261528593133846,0,0.2818759111355134
57,education,Funding education to improve career prospects. I have stable employment and good payment history. I have a stable job with good income and excellent credit history. I have a solid plan for managing this debt responsibly.,POSITIVE,0.76,0.6925630725204946,220,36,5,1,0,1,0,0.13495265093347691,1,0.19455664219141405,0,0.2516500458894906
58,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs. I have a good credit score and stable income. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing. I have compared different lenders and found this to be the most suitable option.,POSITIVE,0.7345238095238096,0.8116904394605784,318,55,6,1,0,1,1,0.18814155790296097,0,0.24763485446274058,1,0.2843801148440437
59,business,Investing in new equipment for my growing business.,POSITIVE,0.5681818181818181,0.7709861482522817,51,8,2,0,0,0,0,0.09020932146469947,0,0.1259129813625792,0,0.1820662672579739
60,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments.,NEGATIVE,0.4375,0.6154303666296674,83,14,2,0,0,1,1,0.17554411830301844,0,0.21649542219803777,1,0.27118014072394675
61,business,Trying to keep my business afloat.,NEGATIVE,0.5,0.8594308179217758,34,6,2,0,0,0,0,0.09021551245233804,0,0.14109595325600444,0,0.1822167912381676
62,education,Trying to pay for education but facing financial difficulties. Have missed some payments recently. My financial situation has been challenging recently. I am concerned about my ability to make payments. I have researched various loan options and believe this is the best choice for my situation.,NEGATIVE,0.625,0.6263353510258185,295,46,6,0,1,1,0,0.17979499809616456,1,0.23302493207139105,0,0.2839703691386111
63,home_improvement,Planning home improvements to update the property. I have various projects in mind. I have consistent income and average credit score. I am committed to meeting my financial commitments. I have considered the long-term implications of this financial decision.,NEUTRAL,0.51,0.6518328249486189,259,39,6,0,0,1,0,0.17123166863099748,0,0.218511570980255,0,0.2773287473163919
64,home_improvement,Have to fix major structural issues in my house.,NEGATIVE,0.53125,0.914623622784266,48,9,2,0,0,0,0,0.07513899442391134,0,0.1262095655103136,1,0.18295646054062156
65,home_improvement,Need emergency repairs on my home due to water damage. My income has been reduced recently. My income has been reduced recently and I have some payment issues. I am worried about my financial situation. I have considered the long-term implications of this financial decision.,NEGATIVE,0.4875,0.9094471455078532,275,45,6,0,1,1,0,0.18524868620181392,1,0.2318378431031285,0,0.27966819741424315
66,medical,Need loan for healthcare expenses. I have different medical costs to address. My employment is stable and I have typical payment history. I will make payments as agreed. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5333333333333333,0.941672111525837,257,42,6,1,0,1,0,0.18534775791233737,0,0.2289909989771166,0,0.27984163659932526
67,home_improvement,Planning to renovate my kitchen to increase home value. I have a stable job and good credit history. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing.,POSITIVE,0.7791666666666667,0.873835273651671,214,37,5,1,0,1,0,0.1215882439190649,0,0.17383638655906705,0,0.2243094924151859
68,medical,Need loan for healthcare expenses. I have different medical costs to address. My employment is stable and I have typical payment history. I understand my financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5277777777777778,0.8755810781974149,264,41,6,1,0,1,0,0.18663937625884514,0,0.2338400904038256,1,0.28262182879771797
69,debt_consolidation,"I need to consolidate my high-interest credit card debt into a single, manageable payment. I have a stable job and am committed to improving my financial situation. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly.",POSITIVE,0.5770408163265306,0.6698504905090131,293,48,5,1,0,1,0,0.20945504786607835,0,0.25933983990641946,0,0.29327450692268725
70,medical,Looking to finance medical treatment. I have several medical bills to pay. My employment is stable and I have typical payment history. I will make payments as agreed.,NEUTRAL,0.4791666666666667,0.608282552145508,166,28,5,1,0,1,0,0.16493375018406423,0,0.21912762554024728,1,0.2690193780930974
71,home_improvement,Want to make some upgrades to my house. I have a few different improvement projects planned. I have consistent income and average credit score. I plan to manage this loan responsibly.,NEUTRAL,0.51,0.9384111864169264,183,31,5,0,0,1,1,0.15363875429920357,0,0.20211047513829333,0,0.26110159970191066
72,business,Investing in new equipment for my growing business. I have stable revenue and good credit history. I have excellent credit history and stable employment. I have carefully considered this financial decision.,POSITIVE,0.6736363636363636,0.8378313414260923,206,31,5,1,0,1,0,0.15158810145835347,0,0.19722173407464544,0,0.24510237891842293
73,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. I have a stable job with good income and excellent credit history. I am committed to maintaining my good credit standing.,POSITIVE,0.8166666666666667,0.6624987356603622,217,36,5,1,0,1,0,0.130470895091243,0,0.16945341195397165,0,0.2313353033506336
74,business,Need funding for business expansion.,NEUTRAL,0.5,0.7209904890879301,36,5,2,0,0,0,0,0.10310340849731142,0,0.15300185765309757,0,0.2030803785076955
75,business,Need capital for business development. I have different projects that require financing. I have standard credit history and stable employment. I plan to manage this loan responsibly.,NEUTRAL,0.5333333333333333,0.7348184016706545,182,27,5,1,0,1,0,0.1471049064461382,1,0.1991812217121853,0,0.2564755541777626
76,education,Looking to finance my education.,NEUTRAL,0.5,0.6005919473765203,32,5,2,0,0,0,0,0.1009976735743457,0,0.14149235196794713,0,0.20133654925290345
77,education,Need loan for education. I have different education-related costs to address. My employment is stable and I have typical payment history. I understand my financial obligations. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.4666666666666667,0.6244908338942086,245,37,6,1,0,1,1,0.1904454186633067,0,0.23887637933886513,0,0.28735939655685494
78,business,Expanding my successful small business. I have excellent credit and proven track record. I have a stable job with good income and excellent credit history. I am committed to maintaining my good credit standing. I have considered the long-term implications of this financial decision.,POSITIVE,0.7785714285714286,0.7082496317730286,283,44,6,1,0,1,0,0.1511542563264958,0,0.20601235753427435,0,0.2580822097955508
79,medical,Need urgent medical treatment but struggling financially. Have missed some payments due to medical bills. My credit has suffered due to recent financial difficulties. I am facing financial challenges.,NEGATIVE,0.484375,0.6445507296707036,200,29,5,0,1,1,0,0.17441153928926345,0,0.20897640095258788,0,0.2779429761789238
80,medical,Need medical procedure that's well-planned. I have good health insurance and financial stability. My employment is secure and I have strong payment history. I am optimistic about my financial future. I have considered the long-term implications of this financial decision.,POSITIVE,0.5958333333333333,0.7053324560979478,272,40,6,1,0,1,0,0.16598050630503658,0,0.22577772925833187,0,0.27385695656140496
81,education,Looking to finance my education.,NEUTRAL,0.5,0.750460852496442,32,5,2,0,0,0,0,0.09279242351088361,1,0.14785275814714982,0,0.19256097731840643
82,education,Need loan for education. I have different education-related costs to address. I have consistent income and average credit score. I will maintain my payment schedule. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.5,0.7547559297566826,234,36,6,0,0,1,0,0.18149044426242508,0,0.2346774719850087,0,0.28459393911195746
83,home_improvement,Have to fix major structural issues in my house. My credit has suffered due to medical bills. I've been struggling financially and have missed some payments. I am concerned about my ability to make payments. I have compared different lenders and found this to be the most suitable option.,NEGATIVE,0.5705357142857143,0.7804082034703257,288,49,6,0,1,1,0,0.18330094901144392,0,0.22242483049524905,1,0.26663422428161976
84,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing.,POSITIVE,0.7444444444444445,0.6786242330990508,209,34,5,1,0,1,0,0.13596949757998408,0,0.18705667223657715,1,0.23635120312187882
85,home_improvement,Need emergency repairs on my home due to water damage.,NEGATIVE,0.4375,0.944377607973648,54,10,2,0,1,0,0,0.09224497982606111,0,0.1432067071960639,0,0.19938953525864964
86,education,Trying to pay for education but facing financial difficulties.,NEGATIVE,0.5,0.6680523328588982,62,9,2,0,1,1,0,0.13103016812489934,0,0.18157558007519162,0,0.23199841948584712
87,medical,Looking to finance medical treatment. I have several medical bills to pay. My employment is stable and I have typical payment history. I will make payments as agreed.,NEUTRAL,0.4791666666666667,0.8296203038891243,166,28,5,1,0,1,0,0.16830960451072788,0,0.2085734611685753,0,0.26440691082325213
88,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.8814384496606,62,8,2,0,0,1,0,0.13166498655508643,0,0.17557497019443344,0,0.21981547627848597
89,education,Need funding for educational expenses. I have various education costs to cover. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5416666666666666,0.921114505059404,165,26,5,1,0,1,0,0.14867890887997676,0,0.20349959450895377,0,0.2470553194204642
90,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections. My income is irregular. I have some payment problems and my income is irregular. I am facing financial challenges.,NEGATIVE,0.5,0.9457623585732567,208,35,5,0,0,1,1,0.19275108999410165,0,0.2408428296948986,0,0.29358201618929386
91,education,Investing in professional certification to increase earning potential. I have strong credit and good income. I have excellent credit history and stable employment. I am optimistic about my financial future.,POSITIVE,0.6595238095238095,0.7493592649005294,206,30,5,1,0,1,0,0.1477696310201582,0,0.19974217581137035,1,0.24352920638809591
92,education,Need funding for educational expenses. I have various education costs to cover. My financial situation is normal with regular income. I will maintain my payment schedule.,NEUTRAL,0.54,0.6907170419627567,170,26,5,0,0,1,0,0.1620288841134093,1,0.20825573110924905,0,0.2506733606066348
93,home_improvement,Want to make some upgrades to my house. I have a few different improvement projects planned. I have standard credit history and stable employment. I will maintain my payment schedule. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.53,0.6961091064211384,271,44,6,1,0,1,0,0.1742675524021905,1,0.23129951087731523,0,0.2830858605363502
94,debt_consolidation,Looking to consolidate multiple debts for better organization. I have a mix of credit cards and other loans. My employment is stable and I have typical payment history. I understand my financial obligations. I have compared different lenders and found this to be the most suitable option.,NEUTRAL,0.5786458333333333,0.7118983489465668,288,47,6,1,0,1,0,0.20342684728807983,0,0.25945622801184365,0,0.3
95,education,Need funding for educational expenses.,NEUTRAL,0.625,0.7340623523509683,38,5,2,0,0,0,0,0.07470821218731986,0,0.11796016985365011,0,0.17122608618889518
96,home_improvement,Need emergency repairs on my home due to water damage. My income has been reduced recently. My income has been reduced recently and I have some payment issues. I am uncertain about my ability to repay. I have carefully planned my budget to accommodate this loan payment.,NEGATIVE,0.471875,0.7158084868633292,270,47,6,0,1,1,0,0.18008500552207285,0,0.23313103201066163,0,0.288095099484894
97,medical,Need funding for medical expenses. I have various healthcare costs to cover. My employment is stable and I have typical payment history. I will maintain my payment schedule.,NEUTRAL,0.4722222222222222,0.7363168844334294,173,28,5,1,0,1,0,0.16952093036332097,1,0.2168834491905479,0,0.26276059000437163
98,education,Need to finish degree but struggling financially. Have some payment issues due to reduced income. My financial situation has been challenging recently. I am uncertain about my ability to repay. I have carefully planned my budget to accommodate this loan payment.,NEGATIVE,0.5229166666666667,0.6020636292543976,262,41,6,0,1,1,0,0.18872650377581146,1,0.23730783978747533,0,0.28665893213053395
99,business,Expanding my successful small business. I have excellent credit and proven track record. My financial situation is stable with consistent income and good credit. I am optimistic about my financial future.,POSITIVE,0.653125,0.8616304841423177,204,31,5,1,0,1,0,0.14612420760036593,1,0.1927481874480635,1,0.24697858126478095
100,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly. I have compared different lenders and found this to be the most suitable option.,POSITIVE,0.6636363636363636,0.7525425916163228,305,50,6,1,0,1,1,0.1752307579553433,0,0.23096381197716054,0,0.272361211626217
101,debt_consolidation,Looking to consolidate multiple credit cards with high interest rates. I have excellent payment history and want to simplify my finances. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly.,POSITIVE,0.644375,0.8941769820718954,266,42,5,1,0,1,0,0.17758335664831004,0,0.24455995220001508,1,0.2883718750261883
102,home_improvement,Looking to do some home renovations. I have several areas that need updating. I have a regular income and standard credit history. I will maintain my payment schedule. I have considered the long-term implications of this financial decision.,NEUTRAL,0.5,0.7975371940586709,240,38,6,0,0,1,0,0.1689460295049998,0,0.22198006589673525,0,0.27553601463043487
103,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments.,NEGATIVE,0.4375,0.9033979744582954,83,14,2,0,0,1,0,0.16319346792820025,0,0.21532874567182514,1,0.26622486813533336
104,home_improvement,Want to make some upgrades to my house.,NEUTRAL,0.5,0.6740810994740185,39,8,2,0,0,0,0,0.08430699166441155,0,0.14256565928604129,0,0.19038828876822161
105,business,Looking to invest in my business. I have several areas that need funding. I have consistent income and average credit score. I will maintain my payment schedule.,NEUTRAL,0.5166666666666667,0.6882950361238331,161,27,5,0,0,1,0,0.1586276707191933,0,0.20010490050150614,1,0.2521699550856796
106,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections. My income is irregular. My financial situation has been challenging recently. I am concerned about my ability to make payments.,NEGATIVE,0.5625,0.9499677399782231,221,36,5,0,1,1,0,0.18584589948450822,0,0.2339679899026276,1,0.29063658133465314
107,business,Trying to keep my business afloat.,NEGATIVE,0.5,0.8639816214208341,34,6,2,0,0,0,0,0.10195129707763598,0,0.1474155466989209,0,0.19206374263130097
108,home_improvement,Planning home improvements to update the property.,NEUTRAL,0.5,0.683490729661117,50,7,2,0,0,0,0,0.09070307447093687,0,0.1366144154207721,0,0.18515390358115058
109,medical,Emergency medical expenses that insurance won't cover. My income has been reduced due to illness. My financial situation has been challenging recently. I am struggling to manage my current financial obligations. I have carefully planned my budget to accommodate this loan payment.,NEGATIVE,0.5171875,0.8448127399361527,280,42,6,0,1,1,0,0.18881337215489077,1,0.23139281730176714,1,0.28825479926355657
110,business,Investing in new equipment for my growing business.,POSITIVE,0.5681818181818181,0.8722271601614013,51,8,2,0,0,0,1,0.08615595449066842,0,0.13559915601900038,0,0.19025553403144366
111,home_improvement,Need emergency repairs on my home due to water damage. My income has been reduced recently. My financial situation has been challenging recently. I am concerned about my ability to make payments.,NEGATIVE,0.546875,0.9251105089424924,195,32,5,0,1,1,0,0.13987268374465495,1,0.19916311265514056,0,0.25202828765642
112,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly. I have researched various loan options and believe this is the best choice for my situation.,POSITIVE,0.6537878787878788,0.8072342514374482,330,52,6,1,0,1,0,0.18265456377582312,1,0.22824387174349192,1,0.27736368132912703
113,home_improvement,Looking to do some home renovations.,NEUTRAL,0.5,0.8819347872761583,36,6,2,0,0,0,0,0.08286245530418196,0,0.1430421106347316,0,0.18634949370206433
