id,purpose,description,sentiment,sentiment_score,sentiment_confidence,text_length,word_count,sentence_count,has_positive_words,has_negative_words,has_financial_terms
15,debt_consolidation,Looking to consolidate multiple credit cards with high interest rates. I have excellent payment history and want to simplify my finances. I have stable income and good credit score with no late payments. I am confident in my ability to repay this loan.,POSITIVE,0.7091666666666666,0.6738439952552142,252,43,5,1,0,1
16,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My employment is secure and I have strong payment history. I have carefully considered this financial decision. I have carefully planned my budget to accommodate this loan payment.,POSITIVE,0.6037037037037036,0.9096391038603459,289,43,6,1,0,1
17,medical,Need urgent medical treatment but struggling financially.,NEGATIVE,0.5,0.8607461437320623,57,7,2,0,1,1
18,education,Need loan for education. I have different education-related costs to address. I have standard credit history and stable employment. I will maintain my payment schedule.,NEUTRAL,0.5,0.9142380092608668,168,25,5,1,0,1
19,medical,Emergency medical expenses that insurance won't cover. My income has been reduced due to illness. I've been struggling financially and have missed some payments. I am facing financial challenges.,NEGATIVE,0.484375,0.7727305422113708,195,29,5,0,1,1
20,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections.,NEGATIVE,0.5,0.8087431607561908,93,16,2,0,0,1
21,medical,Need loan for healthcare expenses. I have different medical costs to address. My financial situation is normal with regular income. I am committed to meeting my financial commitments.,NEUTRAL,0.5125,0.6879949419936346,183,28,5,0,0,1
22,education,Funding education to improve career prospects.,POSITIVE,0.5,0.8628072298570634,46,6,2,0,0,0
23,business,Need emergency funding for my business.,NEGATIVE,0.5,0.7588032972152222,39,6,2,0,1,0
24,business,Trying to save my struggling business. Sales have been declining and I'm behind on some payments. My financial situation has been challenging recently. I am concerned about my ability to make payments. I have compared different lenders and found this to be the most suitable option.,NEGATIVE,0.5821428571428572,0.8945842718603634,282,46,6,0,1,1
25,education,Need to finish degree but struggling financially. Have some payment issues due to reduced income. I've been struggling financially and have missed some payments. I am worried about my financial situation. I have discussed this with my financial advisor and feel confident about this decision.,NEGATIVE,0.53125,0.788782660541869,292,45,6,1,1,1
26,education,Need loan for education.,NEUTRAL,0.5,0.6068168598350413,24,4,2,0,0,0
27,business,Starting a new business venture with a solid business plan. I have strong financial backing and experience. I have a stable job with good income and excellent credit history. I have a solid plan for managing this debt responsibly.,POSITIVE,0.6372053872053872,0.9073033597214142,230,39,5,1,0,1
28,debt_consolidation,Need to consolidate my current debts.,NEUTRAL,0.5,0.9422945727870669,37,6,2,0,0,1
29,education,Need funding for educational expenses.,NEUTRAL,0.625,0.6577944356409446,38,5,2,0,0,0
30,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My employment is secure and I have strong payment history. I am optimistic about my financial future. I have discussed this with my financial advisor and feel confident about this decision.,POSITIVE,0.6283333333333333,0.8495321404866926,298,46,6,1,0,1
31,medical,Need loan for healthcare expenses. I have different medical costs to address. I have consistent income and average credit score. I will maintain my payment schedule. I have considered the long-term implications of this financial decision.,NEUTRAL,0.51,0.7580201494868954,238,36,6,0,0,1
32,home_improvement,Planning to renovate my kitchen to increase home value.,POSITIVE,0.5,0.8059080514600316,55,9,2,0,0,0
33,home_improvement,Planning to renovate my kitchen to increase home value. I have a stable job and good credit history. I have a stable job with good income and excellent credit history. I am confident in my ability to repay this loan. I have researched various loan options and believe this is the best choice for my situation.,POSITIVE,0.825,0.680129624333904,309,56,6,1,0,1
34,debt_consolidation,I want to consolidate my existing debts into one loan. I have various credit cards and personal loans. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5,0.6974670423875914,188,32,5,1,0,1
35,medical,Need loan for healthcare expenses.,NEUTRAL,0.5,0.8016740774023149,34,5,2,0,0,0
36,home_improvement,Want to make some upgrades to my house. I have a few different improvement projects planned. My employment is stable and I have typical payment history. I plan to manage this loan responsibly.,NEUTRAL,0.4791666666666667,0.6339257849800881,192,33,5,1,0,1
37,medical,Need urgent medical treatment but struggling financially. Have missed some payments due to medical bills. I have some payment problems and my income is irregular. I am uncertain about my ability to repay.,NEGATIVE,0.484375,0.9023428619293611,204,33,5,0,1,1
38,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs. I have a good credit score and stable income. I have a stable job with good income and excellent credit history. I am confident in my ability to repay this loan. I have carefully planned my budget to accommodate this loan payment.,POSITIVE,0.78,0.8548747559544139,308,55,6,1,0,1
39,debt_consolidation,I want to consolidate my existing debts into one loan.,NEUTRAL,0.5,0.7570147417415961,54,10,2,0,0,1
40,medical,Need urgent medical treatment but struggling financially.,NEGATIVE,0.5,0.9060700839247029,57,7,2,0,1,1
41,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs. I have a good credit score and stable income. I have a stable job with good income and excellent credit history. I am confident in my ability to repay this loan.,POSITIVE,0.8625,0.8282507128994827,239,44,5,1,0,1
42,education,Need to finish degree but struggling financially.,NEGATIVE,0.5,0.7422449202833652,49,7,2,0,1,1
43,medical,Need medical procedure that's well-planned.,POSITIVE,0.5,0.7326405916419206,43,5,2,0,0,0
44,medical,Looking to finance medical treatment. I have several medical bills to pay. I have consistent income and average credit score. I will maintain my payment schedule.,NEUTRAL,0.51,0.8438070262600569,162,26,5,0,0,1
45,education,Need education funding but my financial situation is tight. Have some credit problems. I have some payment problems and my income is irregular. I am struggling to manage my current financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEGATIVE,0.5267857142857143,0.7038477389230975,291,46,6,1,1,1
46,debt_consolidation,Need to consolidate my current debts. I have several credit accounts that I want to combine. I have standard credit history and stable employment. I plan to manage this loan responsibly. I have compared different lenders and found this to be the most suitable option.,NEUTRAL,0.5892857142857143,0.620007845517619,267,45,6,1,0,1
47,education,Need education funding but my financial situation is tight. Have some credit problems. My financial situation has been challenging recently. I am struggling to manage my current financial obligations.,NEGATIVE,0.5229591836734694,0.6199078529050396,200,29,5,0,1,1
48,education,Need funding for educational expenses.,NEUTRAL,0.625,0.623786302181515,38,5,2,0,0,0
49,home_improvement,Planning home improvements to update the property. I have various projects in mind. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5,0.8026216701275237,169,27,5,1,0,1
50,debt_consolidation,"I need to consolidate my high-interest credit card debt into a single, manageable payment. I have a stable job and am committed to improving my financial situation. My financial situation is stable with consistent income and good credit. I am optimistic about my financial future. I have considered the long-term implications of this financial decision.",POSITIVE,0.5549107142857143,0.7829739504361856,353,55,6,1,0,1
51,business,Need capital for business development.,NEUTRAL,0.5,0.6929650793859738,38,5,2,0,0,0
52,home_improvement,Looking to do some home renovations. I have several areas that need updating. I have consistent income and average credit score. I will maintain my payment schedule. I have compared different lenders and found this to be the most suitable option.,NEUTRAL,0.5958333333333333,0.9251564160969299,246,41,6,0,0,1
53,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.9486337567492831,62,8,2,0,0,1
54,debt_consolidation,I want to consolidate my existing debts into one loan. I have various credit cards and personal loans. I have standard credit history and stable employment. I understand my financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5416666666666666,0.9266407822977981,283,45,6,1,0,1
55,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.7533646005526984,62,8,2,0,0,1
56,education,Looking to finance my education. I have several educational expenses to pay. I have standard credit history and stable employment. I am committed to meeting my financial commitments. I have researched various loan options and believe this is the best choice for my situation.,NEUTRAL,0.6041666666666666,0.8337521212994042,275,44,6,1,0,1
57,education,Funding education to improve career prospects. I have stable employment and good payment history. I have a stable job with good income and excellent credit history. I have a solid plan for managing this debt responsibly.,POSITIVE,0.76,0.6925630725204946,220,36,5,1,0,1
58,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs. I have a good credit score and stable income. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing. I have compared different lenders and found this to be the most suitable option.,POSITIVE,0.7345238095238096,0.8116904394605784,318,55,6,1,0,1
59,business,Investing in new equipment for my growing business.,POSITIVE,0.5681818181818181,0.7709861482522817,51,8,2,0,0,0
60,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments.,NEGATIVE,0.4375,0.6154303666296674,83,14,2,0,0,1
61,business,Trying to keep my business afloat.,NEGATIVE,0.5,0.8594308179217758,34,6,2,0,0,0
62,education,Trying to pay for education but facing financial difficulties. Have missed some payments recently. My financial situation has been challenging recently. I am concerned about my ability to make payments. I have researched various loan options and believe this is the best choice for my situation.,NEGATIVE,0.625,0.6263353510258185,295,46,6,0,1,1
63,home_improvement,Planning home improvements to update the property. I have various projects in mind. I have consistent income and average credit score. I am committed to meeting my financial commitments. I have considered the long-term implications of this financial decision.,NEUTRAL,0.51,0.6518328249486189,259,39,6,0,0,1
64,home_improvement,Have to fix major structural issues in my house.,NEGATIVE,0.53125,0.9146236227842661,48,9,2,0,0,0
65,home_improvement,Need emergency repairs on my home due to water damage. My income has been reduced recently. My income has been reduced recently and I have some payment issues. I am worried about my financial situation. I have considered the long-term implications of this financial decision.,NEGATIVE,0.4875,0.9094471455078531,275,45,6,0,1,1
66,medical,Need loan for healthcare expenses. I have different medical costs to address. My employment is stable and I have typical payment history. I will make payments as agreed. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5333333333333333,0.941672111525837,257,42,6,1,0,1
67,home_improvement,Planning to renovate my kitchen to increase home value. I have a stable job and good credit history. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing.,POSITIVE,0.7791666666666667,0.873835273651671,214,37,5,1,0,1
68,medical,Need loan for healthcare expenses. I have different medical costs to address. My employment is stable and I have typical payment history. I understand my financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5277777777777778,0.8755810781974149,264,41,6,1,0,1
69,debt_consolidation,"I need to consolidate my high-interest credit card debt into a single, manageable payment. I have a stable job and am committed to improving my financial situation. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly.",POSITIVE,0.5770408163265306,0.6698504905090131,293,48,5,1,0,1
70,medical,Looking to finance medical treatment. I have several medical bills to pay. My employment is stable and I have typical payment history. I will make payments as agreed.,NEUTRAL,0.4791666666666667,0.608282552145508,166,28,5,1,0,1
71,home_improvement,Want to make some upgrades to my house. I have a few different improvement projects planned. I have consistent income and average credit score. I plan to manage this loan responsibly.,NEUTRAL,0.51,0.9384111864169263,183,31,5,0,0,1
72,business,Investing in new equipment for my growing business. I have stable revenue and good credit history. I have excellent credit history and stable employment. I have carefully considered this financial decision.,POSITIVE,0.6736363636363636,0.8378313414260923,206,31,5,1,0,1
73,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. I have a stable job with good income and excellent credit history. I am committed to maintaining my good credit standing.,POSITIVE,0.8166666666666667,0.6624987356603622,217,36,5,1,0,1
74,business,Need funding for business expansion.,NEUTRAL,0.5,0.7209904890879301,36,5,2,0,0,0
75,business,Need capital for business development. I have different projects that require financing. I have standard credit history and stable employment. I plan to manage this loan responsibly.,NEUTRAL,0.5333333333333333,0.7348184016706545,182,27,5,1,0,1
76,education,Looking to finance my education.,NEUTRAL,0.5,0.6005919473765203,32,5,2,0,0,0
77,education,Need loan for education. I have different education-related costs to address. My employment is stable and I have typical payment history. I understand my financial obligations. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.4666666666666667,0.6244908338942086,245,37,6,1,0,1
78,business,Expanding my successful small business. I have excellent credit and proven track record. I have a stable job with good income and excellent credit history. I am committed to maintaining my good credit standing. I have considered the long-term implications of this financial decision.,POSITIVE,0.7785714285714286,0.7082496317730286,283,44,6,1,0,1
79,medical,Need urgent medical treatment but struggling financially. Have missed some payments due to medical bills. My credit has suffered due to recent financial difficulties. I am facing financial challenges.,NEGATIVE,0.484375,0.6445507296707036,200,29,5,0,1,1
80,medical,Need medical procedure that's well-planned. I have good health insurance and financial stability. My employment is secure and I have strong payment history. I am optimistic about my financial future. I have considered the long-term implications of this financial decision.,POSITIVE,0.5958333333333333,0.7053324560979478,272,40,6,1,0,1
81,education,Looking to finance my education.,NEUTRAL,0.5,0.750460852496442,32,5,2,0,0,0
82,education,Need loan for education. I have different education-related costs to address. I have consistent income and average credit score. I will maintain my payment schedule. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.5,0.7547559297566826,234,36,6,0,0,1
83,home_improvement,Have to fix major structural issues in my house. My credit has suffered due to medical bills. I've been struggling financially and have missed some payments. I am concerned about my ability to make payments. I have compared different lenders and found this to be the most suitable option.,NEGATIVE,0.5705357142857143,0.7804082034703257,288,49,6,0,1,1
84,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. My employment is secure and I have strong payment history. I am committed to maintaining my good credit standing.,POSITIVE,0.7444444444444445,0.6786242330990508,209,34,5,1,0,1
85,home_improvement,Need emergency repairs on my home due to water damage.,NEGATIVE,0.4375,0.9443776079736479,54,10,2,0,1,0
86,education,Trying to pay for education but facing financial difficulties.,NEGATIVE,0.5,0.6680523328588982,62,9,2,0,1,1
87,medical,Looking to finance medical treatment. I have several medical bills to pay. My employment is stable and I have typical payment history. I will make payments as agreed.,NEUTRAL,0.4791666666666667,0.8296203038891243,166,28,5,1,0,1
88,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.8814384496606,62,8,2,0,0,1
89,education,Need funding for educational expenses. I have various education costs to cover. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5416666666666666,0.9211145050594041,165,26,5,1,0,1
90,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections. My income is irregular. I have some payment problems and my income is irregular. I am facing financial challenges.,NEGATIVE,0.5,0.9457623585732567,208,35,5,0,0,1
91,education,Investing in professional certification to increase earning potential. I have strong credit and good income. I have excellent credit history and stable employment. I am optimistic about my financial future.,POSITIVE,0.6595238095238095,0.7493592649005294,206,30,5,1,0,1
92,education,Need funding for educational expenses. I have various education costs to cover. My financial situation is normal with regular income. I will maintain my payment schedule.,NEUTRAL,0.54,0.6907170419627567,170,26,5,0,0,1
93,home_improvement,Want to make some upgrades to my house. I have a few different improvement projects planned. I have standard credit history and stable employment. I will maintain my payment schedule. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.53,0.6961091064211384,271,44,6,1,0,1
94,debt_consolidation,Looking to consolidate multiple debts for better organization. I have a mix of credit cards and other loans. My employment is stable and I have typical payment history. I understand my financial obligations. I have compared different lenders and found this to be the most suitable option.,NEUTRAL,0.5786458333333333,0.7118983489465668,288,47,6,1,0,1
95,education,Need funding for educational expenses.,NEUTRAL,0.625,0.7340623523509683,38,5,2,0,0,0
96,home_improvement,Need emergency repairs on my home due to water damage. My income has been reduced recently. My income has been reduced recently and I have some payment issues. I am uncertain about my ability to repay. I have carefully planned my budget to accommodate this loan payment.,NEGATIVE,0.471875,0.7158084868633292,270,47,6,0,1,1
97,medical,Need funding for medical expenses. I have various healthcare costs to cover. My employment is stable and I have typical payment history. I will maintain my payment schedule.,NEUTRAL,0.4722222222222222,0.7363168844334294,173,28,5,1,0,1
98,education,Need to finish degree but struggling financially. Have some payment issues due to reduced income. My financial situation has been challenging recently. I am uncertain about my ability to repay. I have carefully planned my budget to accommodate this loan payment.,NEGATIVE,0.5229166666666667,0.6020636292543976,262,41,6,0,1,1
99,business,Expanding my successful small business. I have excellent credit and proven track record. My financial situation is stable with consistent income and good credit. I am optimistic about my financial future.,POSITIVE,0.653125,0.8616304841423177,204,31,5,1,0,1
100,education,Pursuing advanced degree to advance my career. I have excellent academic record and stable job. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly. I have compared different lenders and found this to be the most suitable option.,POSITIVE,0.6636363636363636,0.7525425916163228,305,50,6,1,0,1
101,debt_consolidation,Looking to consolidate multiple credit cards with high interest rates. I have excellent payment history and want to simplify my finances. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly.,POSITIVE,0.644375,0.8941769820718954,266,42,5,1,0,1
102,home_improvement,Looking to do some home renovations. I have several areas that need updating. I have a regular income and standard credit history. I will maintain my payment schedule. I have considered the long-term implications of this financial decision.,NEUTRAL,0.5,0.7975371940586709,240,38,6,0,0,1
103,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments.,NEGATIVE,0.4375,0.9033979744582954,83,14,2,0,0,1
104,home_improvement,Want to make some upgrades to my house.,NEUTRAL,0.5,0.6740810994740185,39,8,2,0,0,0
105,business,Looking to invest in my business. I have several areas that need funding. I have consistent income and average credit score. I will maintain my payment schedule.,NEUTRAL,0.5166666666666667,0.6882950361238331,161,27,5,0,0,1
106,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections. My income is irregular. My financial situation has been challenging recently. I am concerned about my ability to make payments.,NEGATIVE,0.5625,0.9499677399782231,221,36,5,0,1,1
107,business,Trying to keep my business afloat.,NEGATIVE,0.5,0.8639816214208341,34,6,2,0,0,0
108,home_improvement,Planning home improvements to update the property.,NEUTRAL,0.5,0.683490729661117,50,7,2,0,0,0
109,medical,Emergency medical expenses that insurance won't cover. My income has been reduced due to illness. My financial situation has been challenging recently. I am struggling to manage my current financial obligations. I have carefully planned my budget to accommodate this loan payment.,NEGATIVE,0.5171875,0.8448127399361527,280,42,6,0,1,1
110,business,Investing in new equipment for my growing business.,POSITIVE,0.5681818181818181,0.8722271601614013,51,8,2,0,0,0
111,home_improvement,Need emergency repairs on my home due to water damage. My income has been reduced recently. My financial situation has been challenging recently. I am concerned about my ability to make payments.,NEGATIVE,0.546875,0.9251105089424925,195,32,5,0,1,1
112,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My financial situation is stable with consistent income and good credit. I have a solid plan for managing this debt responsibly. I have researched various loan options and believe this is the best choice for my situation.,POSITIVE,0.6537878787878788,0.8072342514374482,330,52,6,1,0,1
113,home_improvement,Looking to do some home renovations.,NEUTRAL,0.5,0.8819347872761583,36,6,2,0,0,0
114,education,Looking to finance my education.,NEUTRAL,0.5,0.8315324692405746,32,5,2,0,0,0
115,debt_consolidation,Need to consolidate my current debts. I have several credit accounts that I want to combine. I have consistent income and average credit score. I plan to manage this loan responsibly. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.5166666666666667,0.8878158213315204,252,42,6,0,0,1
116,debt_consolidation,Looking to consolidate multiple debts for better organization. I have a mix of credit cards and other loans. My financial situation is normal with regular income. I will make payments as agreed.,NEUTRAL,0.54375,0.752420500752687,194,32,5,0,0,1
117,education,Looking to finance my education. I have several educational expenses to pay. I have standard credit history and stable employment. I am committed to meeting my financial commitments. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.515,0.7627058200720778,251,39,6,1,0,1
118,education,Investing in professional certification to increase earning potential. I have strong credit and good income. My employment is secure and I have strong payment history. I am confident in my ability to repay this loan.,POSITIVE,0.6833333333333333,0.6976248872173645,216,35,5,1,0,1
119,medical,Looking to finance medical treatment.,NEUTRAL,0.5,0.8338659646559228,37,5,2,0,0,0
120,business,Looking to invest in my business.,NEUTRAL,0.5,0.7706424763369705,33,6,2,0,0,0
121,business,Looking to invest in my business. I have several areas that need funding. I have consistent income and average credit score. I am committed to meeting my financial commitments.,NEUTRAL,0.5125,0.8454143126162705,176,29,5,0,0,1
122,business,Need funding for business expansion. I have various growth opportunities planned. I have standard credit history and stable employment. I will make payments as agreed. I have researched various loan options and believe this is the best choice for my situation.,NEUTRAL,0.625,0.6844746176304379,260,41,6,1,0,1
123,medical,Medical emergency that has impacted my ability to work. Have some credit issues due to medical expenses. I've been struggling financially and have missed some payments. I am uncertain about my ability to repay.,NEGATIVE,0.484375,0.8260660149093333,210,34,5,0,1,1
124,medical,Planning elective surgery with good insurance coverage. I have stable income and excellent credit. I have a stable job with good income and excellent credit history. I am committed to maintaining my good credit standing.,POSITIVE,0.9099999999999999,0.6775587401653855,220,35,5,1,0,1
125,home_improvement,Need urgent home repairs but my financial situation is tight. Have some payment issues recently. My financial situation has been challenging recently. I am worried about my financial situation.,NEGATIVE,0.5267857142857143,0.7656411710658336,193,29,5,0,1,1
126,education,Trying to pay for education but facing financial difficulties. Have missed some payments recently. My financial situation has been challenging recently. I am worried about my financial situation.,NEGATIVE,0.55,0.7231336846649589,195,28,5,0,1,1
127,medical,Looking to finance medical treatment. I have several medical bills to pay. I have consistent income and average credit score. I will make payments as agreed.,NEUTRAL,0.51,0.642229559663307,157,26,5,0,0,1
128,home_improvement,Planning home improvements to update the property. I have various projects in mind. I have standard credit history and stable employment. I will make payments as agreed.,NEUTRAL,0.5,0.6670393405536906,169,27,5,1,0,1
129,medical,Scheduling important medical treatment. I have strong credit and stable employment. I have excellent credit history and stable employment. I am optimistic about my financial future.,POSITIVE,0.6527777777777778,0.8088767591793056,181,26,5,1,0,1
130,debt_consolidation,Looking to consolidate multiple debts for better organization.,NEUTRAL,0.625,0.6628045402898911,62,8,2,0,0,1
131,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments. Need help getting back on track. I've been struggling financially and have missed some payments. I am worried about my financial situation. I have researched various loan options and believe this is the best choice for my situation.,NEGATIVE,0.5729166666666666,0.9410032258859582,316,52,6,0,1,1
132,education,Need education funding but my financial situation is tight. Have some credit problems. I've been struggling financially and have missed some payments. I am uncertain about my ability to repay.,NEGATIVE,0.47023809523809523,0.6359056763757163,192,30,5,0,1,1
133,debt_consolidation,Looking to consolidate multiple credit cards with high interest rates. I have excellent payment history and want to simplify my finances. My financial situation is stable with consistent income and good credit. I have carefully considered this financial decision. I have carefully planned my budget to accommodate this loan payment.,POSITIVE,0.606111111111111,0.7192470763961023,332,50,6,1,0,1
134,debt_consolidation,Need to consolidate debts because I'm struggling to make minimum payments. Have some late payments recently. My income has been reduced recently and I have some payment issues. I am concerned about my ability to make payments.,NEGATIVE,0.45,0.7402476047881789,226,37,5,0,1,1
135,debt_consolidation,Need to consolidate my current debts. I have several credit accounts that I want to combine. I have a regular income and standard credit history. I will make payments as agreed. I have discussed this with my financial advisor and feel confident about this decision.,NEUTRAL,0.5416666666666666,0.8838997266962666,265,45,6,1,0,1
136,business,Trying to save my struggling business.,NEGATIVE,0.5,0.867555205864168,38,6,2,0,1,0
137,education,Need loan for education. I have different education-related costs to address. My employment is stable and I have typical payment history. I am committed to meeting my financial commitments. I have carefully planned my budget to accommodate this loan payment.,NEUTRAL,0.4666666666666667,0.7576800627110639,258,40,6,1,0,1
138,medical,Need loan for healthcare expenses. I have different medical costs to address. My financial situation is normal with regular income. I understand my financial obligations.,NEUTRAL,0.5125,0.7990203147184816,170,25,5,0,0,1
139,debt_consolidation,Trying to consolidate debts but my credit score has dropped due to missed payments. Need help getting back on track. My income has been reduced recently and I have some payment issues. I am struggling to manage my current financial obligations. I have discussed this with my financial advisor and feel confident about this decision.,NEGATIVE,0.5267857142857143,0.6926261438515026,332,55,6,1,1,1
140,debt_consolidation,I want to consolidate my existing debts into one loan.,NEUTRAL,0.5,0.6262727041154088,54,10,2,0,0,1
141,debt_consolidation,Looking to consolidate multiple debts for better organization. I have a mix of credit cards and other loans. I have standard credit history and stable employment. I will maintain my payment schedule.,NEUTRAL,0.546875,0.7019407511608596,199,32,5,1,0,1
142,home_improvement,Need urgent home repairs but my financial situation is tight. Have some payment issues recently. My credit has suffered due to recent financial difficulties. I am uncertain about my ability to repay.,NEGATIVE,0.47470238095238093,0.6249129160537177,199,32,5,0,1,1
143,home_improvement,Need urgent home repairs but my financial situation is tight. Have some payment issues recently. My financial situation has been challenging recently. I am struggling to manage my current financial obligations.,NEGATIVE,0.5229591836734694,0.7487986381364741,210,31,5,0,1,1
144,education,Need education funding but my financial situation is tight.,NEGATIVE,0.45535714285714285,0.8893209058775209,59,9,2,0,0,1
145,debt_consolidation,I have multiple credit cards maxed out and need to consolidate before they go to collections.,NEGATIVE,0.5,0.862135202724368,93,16,2,0,0,1
146,education,Investing in professional certification to increase earning potential. I have strong credit and good income. I have a stable job with good income and excellent credit history. I have carefully considered this financial decision.,POSITIVE,0.6770833333333334,0.8410372969242328,228,34,5,1,0,1
147,medical,Need loan for healthcare expenses. I have different medical costs to address. I have standard credit history and stable employment. I will maintain my payment schedule.,NEUTRAL,0.5,0.7532156022500592,168,26,5,1,0,1
148,education,Looking to finance my education.,NEUTRAL,0.5,0.6876287658442013,32,5,2,0,0,0
149,debt_consolidation,I want to consolidate my debts to reduce monthly payments and interest costs.,POSITIVE,0.5,0.9327751972322234,77,13,2,0,0,1
150,business,Trying to save my struggling business. Sales have been declining and I'm behind on some payments. I've been struggling financially and have missed some payments. I am uncertain about my ability to repay. I have considered the long-term implications of this financial decision.,NEGATIVE,0.43333333333333335,0.8280283213017902,276,43,6,0,1,1
151,business,Need capital for business development.,NEUTRAL,0.5,0.9391693326229962,38,5,2,0,0,0
152,medical,Need urgent medical treatment but struggling financially. Have missed some payments due to medical bills. My credit has suffered due to recent financial difficulties. I am worried about my financial situation.,NEGATIVE,0.484375,0.8345467283324148,209,31,5,0,1,1
153,home_improvement,Want to upgrade my home's energy efficiency with new windows and insulation. I have excellent payment history. My financial situation is stable with consistent income and good credit. I am committed to maintaining my good credit standing.,POSITIVE,0.7321969696969697,0.8319042379470001,238,37,5,1,0,1
154,medical,Emergency medical expenses that insurance won't cover. My income has been reduced due to illness. I have some payment problems and my income is irregular. I am concerned about my ability to make payments. I have compared different lenders and found this to be the most suitable option.,NEGATIVE,0.5925,0.6883395978297726,285,48,6,0,1,1
