loan_amnt,purpose,desc,sentiment,confidence
21600.0,debt_consolidation,"  Borrower added on 01/21/13 > Finally getting rid of credit card debt once and for all.<br><br>  Borrower added on 01/23/13 > After several years of adversity (job loss, temporary jobs, contracting), I'm now permanently employed with a realistic career path. My goal is for my family to be debt free in three years and this loan makes it possible.  Thanks!<br>",NEUTRAL,0.9953
21000.0,debt_consolidation,  Borrower added on 06/13/13 > Consolidate high interest rate debt<br>,NEUTRAL,1.0
1000.0,other,"I am a lender and borrower on Prosper and would like to transfer my activity here since they are frozen. Of the $1,000 borrowed here, approximately $500 will pay off the remainder of my Prosper loan, and the rest will be used to invest here.  The proceeds from principal/interest on my Prosper investments will pay off this loan.",NEUTRAL,1.0
15000.0,debt_consolidation,  Borrower added on 12/05/13 > Consolidating the last remaining credit cards and hope to be debt free in 36 months.<br>,NEUTRAL,0.9999
9725.0,credit_card,  Borrower added on 01/02/12 > Reduce closed CC account APR from 18.99% to 7.90% with personal loan.<br>,NEUTRAL,1.0
14500.0,debt_consolidation,"  Borrower added on 09/13/10 > thanks for allowing me to apply for a debt considation loan<br/> Borrower added on 09/13/10 > i have been on my job for 10 years, have good credit, i pay my bills on time.<br/>",NEUTRAL,0.9796
20000.0,debt_consolidation,"  Borrower added on 02/03/12 > -Established, professional management consultant with several long-term, stable clients<br>-Expanded business with credit cards and want to consolidate<br>-Had a previous Lending Club loan, which was paid off successfully<br>-Only late payment EVER was due to a student loan bill sent to the wrong address<br>",POSITIVE,0.5426
15000.0,debt_consolidation,  Borrower added on 04/23/13 > To pay off credit card debt<br>,NEUTRAL,1.0
25450.0,debt_consolidation,  Borrower added on 02/11/13 > I would like to pay off all my credit cards   and just pay one monthly amount for 36 months and be debt free.<br>,NEUTRAL,1.0
4200.0,debt_consolidation,  Borrower added on 02/04/14 > Debt consolidation<br>,NEUTRAL,1.0
12000.0,car,My credit score is right around 700. Can we  lower the interst rate ?,NEUTRAL,0.9992
6000.0,debt_consolidation,  Borrower added on 08/20/13 > Debt consolidation to pay off high interest credit cards<br>,NEUTRAL,1.0
4200.0,home_improvement,  Borrower added on 08/02/10 > We will be using this to aid in the transition between homes.<br/>,NEUTRAL,0.9999
12000.0,debt_consolidation,"  Borrower added on 06/29/12 > I accumulated quite a bit of credit card debt while in college, which I would really like to pay off.  With this loan, I will be able to achieve my goal in only 3 years vs 8 or so years that it would take me on my own.<br><br>  Borrower added on 06/29/12 > My monthly bills include, credit cards, car payment, utilities, student loan and rent.  Each month I pay these bills on a timely manner and have never missed a payment, which I believe will make me a good borrower. I have a very stable job, but could really use this loan to pay off credit cards.<br>",POSITIVE,0.9999
10000.0,debt_consolidation,  Borrower added on 06/02/13 > We currently have one credit card with a balance of approximately 5862 which we want to payoff. We also have an IRS bill which penalty fees and interest are prevent a fast payoff. We will pay this off with he funds received.<br>,NEUTRAL,1.0
20000.0,debt_consolidation,  Borrower added on 11/19/13 > to pay off several little loans and a high intrest loan to one low rate payment<br>,NEUTRAL,0.9983
10000.0,credit_card,  Borrower added on 02/16/13 > I have just been going week by week paying my credit cards that have a high apr over 24 and need to have only one payment to actually control my payments.<br>,NEUTRAL,0.9999
2400.0,home_improvement,  Borrower added on 09/11/13 > This loan is to insulate my home &amp; replace the front door.  Last year my monthly heating bills were very high due to the fact that there was no insulation in the attic and the front door is warped letting warm air out and cold air in.<br>,NEUTRAL,0.9917
3600.0,other,  Borrower added on 04/25/12 > Deck for Pool Purchase<br>,NEUTRAL,1.0
20000.0,debt_consolidation,  Borrower added on 07/12/13 > I want to consolidate my debt in order to pay it off quicker and hopefully be debt free soon.<br>,NEUTRAL,1.0
15000.0,car,  Borrower added on 03/03/12 > This is for a used motorcycle.I have steady income and this will be my 2nd bike to pay off and enjoy.<br>,POSITIVE,0.5774
20000.0,wedding,  Borrower added on 08/01/12 > It is for my wedding in April.<br>,NEUTRAL,0.9999
10000.0,major_purchase,  Borrower added on 02/14/14 > I need the money to finash rebuilding my second tractor trailer and geting it on the road<br>,NEUTRAL,0.9995
10000.0,wedding,"  Borrower added on 05/19/12 > So this loan is simply some added cushion to be able to pay for everything for my upcoming wedding in full.  While I have great credit, I don't want to have a large revolving balance while I pay it down.<br><br> Borrower added on 05/19/12 > Taking out this loan so I have the money immediately available for repayment of credit cards.  While I have an excellent credit rating, I don't want a large revolving balance on cards with a higher rate of interest.<br>",NEUTRAL,0.6167
11200.0,debt_consolidation,  Borrower added on 05/29/13 > Going in vacation.<br>,NEUTRAL,0.9999
6000.0,debt_consolidation,  Borrower added on 02/05/14 > debt consolidation<br>,NEUTRAL,1.0
10000.0,debt_consolidation,"  Borrower added on 06/05/12 > an is to consolidate credit card debt.  That way, I can be credt card free and have this loan paid with 3 years.<br><br> null",NEUTRAL,1.0
6300.0,medical,  Borrower added on 11/04/11 > Army Soldier applying for a loan....<br/>,NEUTRAL,1.0
12000.0,major_purchase,  Borrower added on 10/14/11 > Loan for boat purchase<br/>,NEUTRAL,1.0
12000.0,debt_consolidation,  Borrower added on 10/03/13 > I want to pay off credit cards.<br>,NEUTRAL,0.9998
8875.0,vacation,  Borrower added on 10/29/12 > Going to Philippines<br><br> Borrower added on 10/29/12 > Personal loan.. Going to Philippines<br>,NEUTRAL,1.0
18000.0,debt_consolidation,  Borrower added on 08/30/12 > Loan purposed to consolidate small portfolio of credit cards and student loans ahead of full prepayment March 2013 in anticipation of bonus. Thank you for your consideration!<br>,NEUTRAL,0.9161
25000.0,debt_consolidation,  Borrower added on 04/26/13 > I would like to pay off credit cards and some other loans and consolidate. I anticipate paying this loan off in 2 years.<br>,NEUTRAL,1.0
12600.0,debt_consolidation,  Borrower added on 02/09/14 > I've decided to clean up and consolidate the rest of my car loan and credit cards into one payment. Juggling those statements is very time consuming and confusing. Having one convenient payment makes my life much easier.  Thanks guys!<br>,NEUTRAL,0.9818
8000.0,car,  Borrower added on 08/27/13 > to purchase a used vehicle for my daughter so she can get to and from work.<br>,NEUTRAL,0.9999
16000.0,debt_consolidation,"  Borrower added on 09/18/10 > I'm planning to use the funds to pay off my bills and start a family. my monthly income is $3,200. Also i'm able to receive $1,000 to $1,500 extra with overtime a month. i'm a state employee in a demanding field with job security.<br/>",NEUTRAL,1.0
25000.0,debt_consolidation,  Borrower added on 09/08/13 > debt consolidation at a lower interest rate<br>,NEUTRAL,0.9999
21000.0,debt_consolidation,  Borrower added on 01/23/13 > debt consolidation<br><br> Borrower added on 01/23/13 > Debt consolidation.<br>,NEUTRAL,1.0
15000.0,debt_consolidation,"  Borrower added on 01/15/13 > This loan is for debt consolidation and it will reduce my monthly payment by more than $60, which I have already proven to pay timely.  My DTI ratio is not great, but my payment history and objective for the loan and plans for the funds will be followed if the loan gets funded.<br>",NEUTRAL,0.9999
21200.0,debt_consolidation,  Borrower added on 11/17/12 > To pay off credit cards and to help offset bills<br>,NEUTRAL,1.0
3000.0,credit_card,  Borrower added on 03/01/10 > I'm working on my last $3000 worth of high interest debt. Thank you for your interest in my loan!<br/>,NEUTRAL,0.9996
5000.0,debt_consolidation,  Borrower added on 02/27/14 > I JUST WANT TO PAY  A FEW CREDIT CARD DEBT WHO HELP ME TO LOWER MY DEBT<br>,NEUTRAL,0.9999
22800.0,house,  Borrower added on 01/04/13 > Down payment for Home purchase.<br>,NEUTRAL,1.0
8000.0,credit_card,"  Borrower added on 11/20/13 > I'm serving a ridiculous credit card with high interest rate. I promptly pay my bill and never default, yet the available balance keep increasing at an increasing rate. I intend to use this fund to pay-off all my credit card with a better interest rate and one time monthly payment.<br>",NEUTRAL,0.6928
4500.0,credit_card,  Borrower added on 02/26/14 > to pay off credit cards<br><br>  Borrower added on 02/26/14 > Credit card<br>,NEUTRAL,1.0
12000.0,credit_card,  Borrower added on 11/11/12 > We have been slowly building an emergency fund and paying down our debt.  I would like to consolidate my credit cards to one payment with a lower interest rate in order to achieve these goals.<br>,NEUTRAL,0.9722
5000.0,car,  Borrower added on 11/04/12 > This loan is for a used vehicle for my son.  1982 Jeep CJ7<br>,NEUTRAL,1.0
10000.0,credit_card,  Borrower added on 08/30/11 > I will use this loan to refinance my credit card following unforeseen expenses earlier this year. I have very stable employment and my monthly payment is well within my budget. Thanks!<br/>,POSITIVE,0.9926
22000.0,credit_card,"  Borrower added on 06/26/13 > I'm wanting to consolidate my credit cards, lower my interest and live debt free!<br>",NEUTRAL,0.9999
10000.0,credit_card,  Borrower added on 04/18/13 > pay credit cards<br>,NEUTRAL,1.0
30000.0,debt_consolidation,  Borrower added on 02/03/14 > Going to pay off credit cards and two other loans<br>,NEUTRAL,1.0
7000.0,debt_consolidation,"Hello,  I am being slammed by many monthly payments. I do not have trouble paying them however the balance does not seem to do down. I would like one loan with one payment to make life easier and pay this debt down forever.",POSITIVE,0.963
6400.0,home_improvement,  Borrower added on 05/25/11 > The loan is for small home improvements.<br/> Borrower added on 05/26/11 > The loan is for home improvements.<br/>,NEUTRAL,1.0
18000.0,debt_consolidation,  Borrower added on 11/28/12 > Debt consolidation<br>,NEUTRAL,1.0
3000.0,wedding,  Borrower added on 08/20/12 > I have just started to work on getting married and this will help me get my ring.  The rest of the wedding planing will be on hold until I am able to pay down my other debt.<br>,NEUTRAL,0.9995
11200.0,credit_card,  Borrower added on 03/17/14 > Looking to consolidate some high interest credit card debt and lower my overall utilization.<br>,NEUTRAL,0.9341
5000.0,credit_card,  Borrower added on 12/09/13 > I want to pay off my credit card debt with a lower Apr. This loan will help me achieve this goal.<br>,POSITIVE,0.999
5000.0,car,"I graduated from college in May 2007 , currently I take public transportation to get around. I would really like to buy a car so travelling can be a little more convenient especially in the winter time.",NEUTRAL,0.9998
7750.0,debt_consolidation,  Borrower added on 04/26/13 > I want to pay off all my debts<br>,NEUTRAL,0.9999
19500.0,debt_consolidation,"  Borrower added on 03/15/13 > I am wanting to consolidate my debt into one payment so I can pay it down quicker and buy a house within a couple years.I intend to sell my toys (motorcycle, four wheeler, extra vehicles) to pay the debt off quicker to achieve this goal.<br>",NEUTRAL,0.9977
10000.0,debt_consolidation,"  Borrower added on 04/12/10 > My request is for a consolidation loan. Added information is as follows: 1) I have two jobs, both part time. Since I could only list one, my total income is closer to $40,000 per year rather than $22,000; 2) I wish to arrange for my monthly payments to be set up on automatic withdrawal from my credit union.<br/>",NEUTRAL,1.0
5000.0,other,  Borrower added on 11/09/12 > Taxes<br>,NEUTRAL,1.0
8000.0,debt_consolidation,  Borrower added on 10/12/13 > to pay off high interest credit card debt<br>,NEUTRAL,1.0
8400.0,medical,  Borrower added on 02/14/14 > For various medical expenses<br><br> Borrower added on 02/14/14 > Medical expenses<br><br> Borrower added on 02/14/14 > to pay various medical expenses<br>,NEUTRAL,1.0
15000.0,debt_consolidation,  Borrower added on 02/06/13 > I would like this loan to pay off all my credit card debt and have one payment to make each month. I plan to buy a home in the near future and would like to get out of debt as fast as possible. I will not be using my credit cards after paying them off with this loan.<br>,NEUTRAL,1.0
3000.0,credit_card,  Borrower added on 09/14/12 > credit cards refinance<br><br> Borrower added on 09/14/12 > credit card refinance<br>,NEUTRAL,1.0
16000.0,debt_consolidation,"  Borrower added on 03/08/11 > Here is a list of the debts I would like to pay off with a consolidation loan:<br/><br/>1. Paypal - $500.00 - 26.99% - $25.00/mo<br/><br/>2. Paypal - $2,083.29 - 26.99% - $87.00/mo<br/><br/>3. GEMB Credit - $1,479.00 - 29.99% - $52.00/mo<br/><br/>4. Cap One LOC - $2,257.00 - 12.00% - $56.43/mo<br/><br/>5. Cap One MC - $592.89 - 22.90% - $17.00/mo<br/><br/>6. Cap One MC - $4,412.00 - 29.99% - $181.00/mo<br/><br/>7. Cap One Auto - $1,525.00 - 7.99% - $291.67/mo<br/><br/>8. Auto Repair Loan - $2,700.00 - 0.00% - $100.00/mo<br/><br/>Total Amount of Debts: $15,548.00<br/><br/>Total Payments Before Consolidation: $810.10<br/><br/>New Payment with Consolidation: $379.00 paid off in 5 years<br/><br/>***Savings per month: $431.00!!!***<br/><br/>Thank you for your consideration.<br/>",NEUTRAL,1.0
10000.0,credit_card,  Borrower added on 01/13/12 > I am using this money to pay a high interest credit card. This will relieve a lot pressure and give me some light at the end of the tunnel and a chance to clear this debt from by record.<br><br>  Borrower added on 01/17/12 > If I get fully funded I hope to have this paid off in two years.<br>,NEUTRAL,0.9987
13750.0,debt_consolidation,  Borrower added on 09/05/13 > Loan is simply to consolidate all my credit cards into one payment. I would like to eventually buy a house and would benefit from just having one payment to fellow investors vs. a few credit cards.<br>,POSITIVE,0.9965
1500.0,other,"  Borrower added on 07/26/12 > My A/C broke in my car and I need to replace the compressor.<br>I live in Florida and as you can imagine, driving with no air in July is unbearable!<br>Thank you for your help and support!  I sincerely appreciate it!<br>",NEUTRAL,0.9449
16100.0,debt_consolidation,"  Borrower added on 02/25/13 > This loan will be utilized to pay off my credit card debt and school loan. I have been continually making payments and accruing interest for a few years. My career is very stable, we have been expanding and profiting every year. I believe it is about time I took control of my debt and eliminated it.<br>",POSITIVE,0.9966
5500.0,wedding,  Borrower added on 10/07/12 > im going to get married and im a little bit short thats why i i wanted to borrow some money so i can have a good wedding and i can be very happy<br><br> Borrower added on 10/08/12 > im going to get married thats why i borrow the money so i can have a good wedding but im working full time and my credit is so good that i want to pay this off after the wedding.as soon as as receice the money i will start with everything.because the money is the only thing that stoping me thank you<br>,POSITIVE,0.9326
18000.0,debt_consolidation,  Borrower added on 06/12/13 > I accrued debt on my credit cards and want to pay cards off. As can be seen on my credit report if I'm given loans or credit cards I will never miss a payment.<br>,NEUTRAL,0.9998
2325.0,major_purchase,  Borrower added on 12/09/13 > Engage<br><br> Borrower added on 12/09/13 > Engagement ring<br>,NEUTRAL,1.0
18000.0,credit_card,  Borrower added on 12/19/12 > To help pay down my credit cards. Thank you.<br>,NEUTRAL,0.9984
14000.0,small_business,"  Borrower added on 10/27/11 > I purchased a rental property in 2006.  Every 5 years, the commercial lender requires a refinance.  Because of the housing market downturn, the lender did refinance the loan in January 2011, but is requiring a $20,000 principal paydown in 18 months.  This year, I have paid down $7,000 on the principal along with the monthly payments of $900.  The purpose of this loan is to pay the balance of the principal requirement now which will create a larger margin of cash flow for the next 3 years.  The property is not upside down.  I purchased it for $175,000 and owe $102,000.  They did not require an appraisal for the refinance.  All three units have been remodeled since I purchased the property.  One occupant has been with us since 2006.  The other 2 have lived there since 2007.  They are stable tenants and always pay their rent on time.<br/><br/>Some information about me:  I work full-time for an investment firm in their technology area.  I have been with this company for 10.5 years.  I also work part-time as a sales associate.  I am a hard worker, diligent and focused.  Your time and consideration in funding this loan is very much appreciated.  Thank you.<br/>",NEUTRAL,1.0
5700.0,debt_consolidation,  Borrower added on 02/18/14 > This loan will allow me to save from high interest rates and have it paid off by 2017 or before.<br>,NEUTRAL,0.9944
28000.0,debt_consolidation,"  Borrower added on 03/11/13 > Pay off credit cards, pay taxes, and a little bit of money for travel<br>",NEUTRAL,0.9999
3450.0,credit_card,"  Borrower added on 07/17/12 > To decrease my credit card debt, and improve my credit score with loan payments.<br>",POSITIVE,0.9977
15000.0,credit_card,  Borrower added on 01/19/13 > Used my credit card to help payoff my daughters last year of college due to some unexpected house repairs that had to be paid in cash and it took all of the money I had left for college payments.<br><br> Borrower added on 01/19/13 > Put my child's last year of college expenses on credit card after unexpected house repairs took the balance of college savings. Would like to pay the credit card off faster at a better rate.<br>,NEUTRAL,0.9954
14400.0,debt_consolidation,  Borrower added on 10/06/12 > Pay off much higher interest rate loans<br>,NEUTRAL,0.9986
4000.0,credit_card,  Borrower added on 11/06/12 > I want to pay off my credit card at a rate lower than what the bank is charging me.<br>,NEUTRAL,0.9993
16800.0,debt_consolidation,"  Borrower added on 10/22/12 > This loan is to pay off credit card debt and to pay down student loans, both of which carry a higher interest rate.<br>",NEUTRAL,1.0
